group,variable,value
proto,proto,1.0
proto,state,-0.0907877978867596
proto,dur,-0.3014757505049221
proto,sbytes,-0.012836229079048272
proto,dbytes,-0.039657839290553755
proto,sttl,0.0010651866882561074
proto,dttl,-0.058767029157443626
proto,sloss,-0.03330699522681543
proto,dloss,-0.051149706652323976
proto,service,0.061666295475342144
proto,Sload,0.09975785005918274
proto,Dload,-0.08520767528160934
proto,Spkts,-0.07145207435401854
proto,Dpkts,-0.060795439056211056
proto,swin,-0.19894372704548352
proto,dwin,-0.1980401180422493
proto,stcpb,-0.1543343488849649
proto,dtcpb,-0.15430644748414132
proto,Sjit,-0.022502819773416158
proto,Djit,-0.09822980425795338
proto,Sintpkt,-0.49769963440245524
proto,Dintpkt,-0.36857263512125754
proto,tcprtt,-0.026697099593781345
state,proto,-0.0907877978867596
state,state,1.0
state,dur,0.09047249045989544
state,sbytes,-0.003727267628015119
state,dbytes,0.01943795770825244
state,sttl,0.4352917344498387
state,dttl,-0.16578345509791428
state,sloss,0.009716619265369835
state,dloss,0.026300926156079155
state,service,0.0638635536818984
state,Sload,0.36029999930043227
state,Dload,0.0005701237699760895
state,Spkts,0.031097046206078924
state,Dpkts,0.023026520888686113
state,swin,0.11526033828581987
state,dwin,0.10198038391362906
state,stcpb,0.07950025480528343
state,dtcpb,0.07921752982467702
state,Sjit,0.007598631106262745
state,Djit,0.02003815576264045
state,Sintpkt,0.009653810562205864
state,Dintpkt,-0.06728929904185102
state,tcprtt,-0.03750807180180725
dur,proto,-0.30147575050492215
dur,state,0.09047249045989546
dur,dur,1.0
dur,sbytes,0.14461746813926052
dur,dbytes,0.24458344986665578
dur,sttl,0.015141457546324512
dur,dttl,0.05905260770196081
dur,sloss,0.15519634291726397
dur,dloss,0.24592215439484894
dur,service,0.004439798262714401
dur,Sload,-0.06868384763827404
dur,Dload,-0.06358150372664217
dur,Spkts,0.2803350971718789
dur,Dpkts,0.25382351822974636
dur,swin,0.04099308629526259
dur,dwin,0.034152069204723114
dur,stcpb,0.025787625438977897
dur,dtcpb,0.02596399559173894
dur,Sjit,0.12580842895318065
dur,Djit,0.1883248012797243
dur,Sintpkt,0.2749025628952667
dur,Dintpkt,0.3588531930938523
dur,tcprtt,0.05118817063961078
sbytes,proto,-0.012836229079048272
sbytes,state,-0.0037272676280151193
sbytes,dur,0.14461746813926052
sbytes,sbytes,0.9999999999999999
sbytes,dbytes,0.035740745291312395
sbytes,sttl,-0.00805029424172755
sbytes,dttl,0.06902077034712636
sbytes,sloss,0.9729818984516933
sbytes,dloss,0.03833411560074409
sbytes,service,0.08271961920222673
sbytes,Sload,-0.022835027209015965
sbytes,Dload,-0.0008190092533103627
sbytes,Spkts,0.7028223732327257
sbytes,Dpkts,0.11323013078920093
sbytes,swin,0.05445610747723991
sbytes,dwin,0.05471223942812963
sbytes,stcpb,0.0431572498379043
sbytes,dtcpb,0.0415827905206808
sbytes,Sjit,0.0015049440760117286
sbytes,Djit,0.0016872477097898977
sbytes,Sintpkt,-0.00274340667428042
sbytes,Dintpkt,-0.0008935244411491818
sbytes,tcprtt,0.0214634154952447
dbytes,proto,-0.039657839290553755
dbytes,state,0.01943795770825244
dbytes,dur,0.24458344986665578
dbytes,sbytes,0.035740745291312395
dbytes,dbytes,0.9999999999999999
dbytes,sttl,-0.11114915270963537
dbytes,dttl,0.020861184473071483
dbytes,sloss,0.08792667516516084
dbytes,dloss,0.9912604324953842
dbytes,service,-0.006324383977642117
dbytes,Sload,-0.08506246054240463
dbytes,Dload,0.12402991956850343
dbytes,Spkts,0.6412082204423851
dbytes,Dpkts,0.9694590749559102
dbytes,swin,0.19943387297571313
dbytes,dwin,0.2003490002380719
dbytes,stcpb,0.15429453791471748
dbytes,dtcpb,0.1561484080853328
dbytes,Sjit,0.0179022198405557
dbytes,Djit,0.15637381698196753
dbytes,Sintpkt,-0.009919316663433018
dbytes,Dintpkt,-0.00791639558130906
dbytes,tcprtt,-0.014078884754269154
sttl,proto,0.0010651866882561076
sttl,state,0.4352917344498387
sttl,dur,0.015141457546324512
sttl,sbytes,-0.00805029424172755
sttl,dbytes,-0.11114915270963537
sttl,sttl,1.0
